  1 7495.4711354697665229 [music, county, league, season, school, team, games, college, station, game]
  2 2682.7952670342669990 [michael, thomas, william, jr, george, robert, david, born, james, john]
  3 1749.3688016646158303 [regional, me, love, district, you, county, university, council, national, album]
  4 1532.3099731659601730 [station, lake, social, river, road, jpg, political, km, near, located]
  5 1323.5789570810341047 [website, computer, software, online, science, links, technology, troops, digital, research]
  6 1205.0483257531486743 [returned, allowed, would, did, won, against, took, led, came, went]
  7 1178.9288062045463903 [known, popular, aircraft, famous, medieval, contains, greek, ancient, engine, contemporary]
  8 1111.1511052975683924 [located, season, players, championship, game, tournament, games, teams, league, team]
  9  989.9321982613814725 [what, she, finals, championships, her, scored, him, cup, them, championship]
 10  943.9410315110709462 [ii, squadron, commander, forces, command, aircraft, russian, german, army, soviet]
 11  902.4185483992567924 [launched, sold, companies, purchased, company, operated, overall, points, results, owned]
 12  828.4622278101129496 [vs, river, pp, numerous, airport, route, several, isbn, election, various]
 13  806.7288229093881000 [guitar, teams, who, played, politician, actor, born, football, footballer, player]
 14  769.3955317374084188 [seats, printed, severe, tropical, global, letters, court, church, environmental, climate]
 15  718.6157654124651799 [squadron, minister, products, brazil, population, subsequent, completed, name, brief, born]
 16  695.9346897185407670 [estimated, reported, college, recorded, sold, billion, training, school, produced, million]
 17  664.2710964126404178 [anti, children, km, maria, hours, paris, married, died, democratic, republican]
 18  642.6139653040647772 [building, progressive, officers, revival, reports, species, towards, style, birds, medical]
 19  613.8332814890720783 [tracks, vocals, silver, golden, do, musicians, annual, languages, crown, stations]
 20  590.6310003890797589 [win, legislative, fc, cup, game, vocal, deputy, ltd, games, administrative]
 21  568.6012291121073758 [channel, actress, actor, characters, character, album, vol, lp, television, tv]
 22  545.9754411011099364 [wall, average, highest, glass, shaped, walls, open, jpg, clay, inside]
 23  537.9518822757107728 [coastal, australia, scottish, wales, zealand, scotland, australian, chicago, ireland, british]
 24  517.0464883488550640 [being, provide, unable, been, become, able, are, have, be, were]
 25  512.7931866989638365 [polish, formally, italian, subsequently, american, german, french, russian, spanish, officially]
 26  512.1452265415542797 [major, weekly, san, vocals, newspaper, historic, news, magazine, additional, conservative]
 27  495.0458148549043358 [dutch, canadian, american, swedish, scottish, italian, german, polish, australian, irish]
 28  492.5092469731422398 [heavy, common, projects, earth, daily, railway, police, planet, universe, motor]
 29  481.6044665270720770 [thousand, been, quite, four, total, very, be, is, was, hundred]
 30  466.1537254746395433 [mike, richard, tom, robert, george, michael, peter, david, william, john]
 31  459.4243738872842755 [support, runs, economics, able, mathematics, display, into, law, image, philosophy]
 32  447.4261864685090586 [manager, began, police, introduced, administrative, attempt, intelligence, begin, personnel, continue]
 33  436.8824669242143841 [aircraft, models, server, race, vehicles, engines, player, cars, were, persian]
 34  432.2525371344593168 [any, swiss, ce, scientist, chamber, canadian, swedish, belgian, austrian, norwegian]
